1430296500,1199,2,2,2
1430296510,5724,2,2,2
1430296520,9977,2,2,2
1430296530,6253,2,2,2
1430296540,6908,2,2,2
1430296550,411,2,2,2
1430296560,5410,2,2,2
1430296570,62,2,2,2
1430296580,6918,2,2,2
1430296590,8077,2,2,2
1430296600,4515,2,2,2
1430296610,6639,2,2,2
1430296620,2494,2,2,2
1430296630,5853,2,2,2
1430296640,4402,2,2,2
1430296650,8309,2,2,2
1430296660,5880,2,2,2
1430296670,9620,2,2,2
1430296680,8514,2,2,2
1430296690,2500,2,2,2
1430296700,5492,2,2,2
1430296710,7693,2,2,2
1430296720,9178,2,2,2
1430296730,769,2,2,2
1430296740,2636,2,2,2
1430296750,8364,2,2,2
1430296760,5396,2,2,2
1430296770,4140,2,2,2
1430296780,8846,2,2,2
1430296790,424,2,2,2
1430296800,8663,2,2,2
1430296810,4223,2,2,2
1430296820,5149,2,2,2
1430296830,9917,2,2,2
1430296840,217,2,2,2
1430296850,8756,2,2,2
1430296860,7770,2,2,2
1430296870,1104,2,2,2
1430296880,4193,2,2,2
1430296890,481,2,2,2
1430296900,6144,2,2,2
1430296910,1958,2,2,2
1430296920,5495,2,2,2
1430296930,2978,2,2,2
1430296940,5448,2,2,2
1430296950,3268,2,2,2
1430296960,5685,2,2,2
1430296970,6364,2,2,2
1430296980,4054,2,2,2
1430296990,9188,2,2,2
1430297000,3285,2,2,2
1430297010,5999,2,2,2
1430297020,1482,2,2,2
1430297030,4508,2,2,2
1430297040,6132,2,2,2
1430297050,1478,2,2,2
1430297060,5432,2,2,2
1430297070,5808,2,2,2
1430297080,740,2,2,2
1430297090,6853,2,2,2
1430297100,763,2,2,2
1430297110,7733,2,2,2
1430297120,9899,2,2,2
1430297130,5649,2,2,2
1430297140,36,2,2,2
1430297150,7955,2,2,2
1430297160,3507,2,2,2
1430297170,8997,2,2,2
1430297180,6307,2,2,2
1430297190,6385,2,2,2
1430297200,673,2,2,2
1430297210,2306,2,2,2
1430297220,3388,2,2,2
1430297230,6055,2,2,2
1430297240,2738,2,2,2
1430297250,5072,2,2,2
1430297260,7281,2,2,2
1430297270,4981,2,2,2
1430297280,6632,2,2,2
1430297290,5468,2,2,2
1430297300,9262,2,2,2
1430297310,7116,2,2,2
1430297320,3367,2,2,2
1430297330,5189,2,2,2
1430297340,1356,2,2,2
1430297350,5514,2,2,2
1430297360,8007,2,2,2
1430297370,3875,2,2,2
1430297380,9060,2,2,2
1430297390,1971,2,2,2
1430297400,7383,2,2,2
1430297410,4827,2,2,2
1430297420,9718,2,2,2
1430297430,8633,2,2,2
1430297440,4419,2,2,2
1430297450,5865,2,2,2
1430297460,8531,2,2,2
1430297470,3551,2,2,2
1430297480,6853,2,2,2
1430297490,4447,2,2,2
1430297500,3277,2,2,2
1430297510,9953,2,2,2
1430297520,4692,2,2,2
1430297530,9089,2,2,2
1430297540,4578,2,2,2
1430297550,7919,2,2,2
1430297560,8726,2,2,2
1430297570,2878,2,2,2
1430297580,7040,2,2,2
1430297590,5963,2,2,2
1430297600,2659,2,2,2
1430297610,6177,2,2,2
1430297620,9841,2,2,2
1430297630,7091,2,2,2
1430297640,5043,2,2,2
1430297650,5244,2,2,2
1430297660,1617,2,2,2
1430297670,6128,2,2,2
1430297680,7580,2,2,2
1430297690,8973,2,2,2
1430297700,7909,2,2,2
1430297710,128,2,2,2
1430297720,9840,2,2,2
1430297730,259,2,2,2
1430297740,5399,2,2,2
1430297750,1293,2,2,2
1430297760,1560,2,2,2
1430297770,9955,2,2,2
1430297780,4569,2,2,2
