timestamp,data,sensor_ID,unit_ID,group_ID
1430296500,2212,2,1,2
1430296510,2107,2,1,2
1430296520,1586,2,1,2
1430296530,2379,2,1,2
1430296540,2318,2,1,2
1430296550,1547,2,1,2
1430296560,2399,2,1,2
1430296570,2301,2,1,2
1430296580,1661,2,1,2
1430296590,1971,2,1,2
1430296600,2483,2,1,2
1430296610,1719,2,1,2
1430296620,1739,2,1,2
1430296630,1921,2,1,2
1430296640,2390,2,1,2
1430296650,1681,2,1,2
1430296660,2373,2,1,2
1430296670,2291,2,1,2
1430296680,2486,2,1,2
1430296690,1694,2,1,2
1430296700,1528,2,1,2
1430296710,1890,2,1,2
1430296720,1715,2,1,2
1430296730,2500,2,1,2
1430296740,1505,2,1,2
1430296750,1536,2,1,2
1430296760,2335,2,1,2
1430296770,2034,2,1,2
1430296780,2034,2,1,2
1430296790,2234,2,1,2
1430296800,2141,2,1,2
1430296810,2332,2,1,2
1430296820,2468,2,1,2
1430296830,1600,2,1,2
1430296840,2303,2,1,2
1430296850,1796,2,1,2
1430296860,2108,2,1,2
1430296870,1827,2,1,2
1430296880,1824,2,1,2
1430296890,1626,2,1,2
1430296900,1521,2,1,2
1430296910,2390,2,1,2
1430296920,1515,2,1,2
1430296930,2152,2,1,2
1430296940,1505,2,1,2
1430296950,2011,2,1,2
1430296960,2173,2,1,2
1430296970,1743,2,1,2
1430296980,1571,2,1,2
1430296990,1690,2,1,2
1430297000,2250,2,1,2
1430297010,1710,2,1,2
1430297020,1707,2,1,2
1430297030,1650,2,1,2
1430297040,2254,2,1,2
1430297050,1878,2,1,2
1430297060,2008,2,1,2
1430297070,2317,2,1,2
1430297080,1947,2,1,2
1430297090,2402,2,1,2
1430297100,1846,2,1,2
1430297110,1638,2,1,2
1430297120,1969,2,1,2
1430297130,1672,2,1,2
1430297140,1809,2,1,2
1430297150,2211,2,1,2
1430297160,2156,2,1,2
1430297170,2470,2,1,2
1430297180,2458,2,1,2
1430297190,1740,2,1,2
1430297200,1541,2,1,2
1430297210,2415,2,1,2
1430297220,1785,2,1,2
1430297230,2360,2,1,2
1430297240,1797,2,1,2
1430297250,1793,2,1,2
1430297260,1739,2,1,2
1430297270,2082,2,1,2
1430297280,2054,2,1,2
1430297290,2265,2,1,2
1430297300,2148,2,1,2
1430297310,1746,2,1,2
1430297320,1797,2,1,2
1430297330,1661,2,1,2
1430297340,2362,2,1,2
1430297350,1833,2,1,2
1430297360,2313,2,1,2
1430297370,2078,2,1,2
1430297380,1631,2,1,2
1430297390,1959,2,1,2
1430297400,2234,2,1,2
1430297410,1505,2,1,2
1430297420,2004,2,1,2
1430297430,2041,2,1,2
1430297440,2032,2,1,2
1430297450,2113,2,1,2
1430297460,1705,2,1,2
1430297470,2186,2,1,2
1430297480,2302,2,1,2
1430297490,2375,2,1,2
1430297500,2040,2,1,2
1430297510,2374,2,1,2
1430297520,1704,2,1,2
1430297530,1685,2,1,2
1430297540,1871,2,1,2
1430297550,1984,2,1,2
1430297560,2416,2,1,2
1430297570,1809,2,1,2
1430297580,2195,2,1,2
1430297590,2232,2,1,2
1430297600,1886,2,1,2
1430297610,1526,2,1,2
1430297620,2492,2,1,2
1430297630,1675,2,1,2
1430297640,2237,2,1,2
1430297650,2155,2,1,2
1430297660,1762,2,1,2
1430297670,2296,2,1,2
1430297680,1611,2,1,2
1430297690,1777,2,1,2
1430297700,2220,2,1,2
1430297710,2189,2,1,2
1430297720,2069,2,1,2
1430297730,2322,2,1,2
1430297740,2330,2,1,2
1430297750,1577,2,1,2
1430297760,2367,2,1,2
1430297770,1898,2,1,2
1430297780,1805,2,1,2
1430297790,1711,2,1,2
1430297800,2189,2,1,2
1430297810,2296,2,1,2
1430297820,2289,2,1,2
1430297830,2321,2,1,2
1430297840,2357,2,1,2
1430297850,1515,2,1,2
1430297860,1963,2,1,2
1430297870,1743,2,1,2
1430297880,1898,2,1,2
1430297890,2448,2,1,2
1430297900,2488,2,1,2
1430297910,1943,2,1,2
1430297920,1859,2,1,2
1430297930,2382,2,1,2
1430297940,2408,2,1,2
1430297950,2468,2,1,2
1430297960,2490,2,1,2
1430297970,2488,2,1,2
1430297980,2152,2,1,2
1430297990,2094,2,1,2
1430298000,1831,2,1,2
1430298010,1739,2,1,2
1430298020,2266,2,1,2
1430298030,2445,2,1,2
1430298040,1789,2,1,2
1430298050,1981,2,1,2
1430298060,2485,2,1,2
1430298070,1799,2,1,2
1430298080,2320,2,1,2
1430298090,2251,2,1,2
1430298100,1815,2,1,2
1430298110,1798,2,1,2
1430298120,1744,2,1,2
1430298130,2429,2,1,2
1430298140,2158,2,1,2
1430298150,1594,2,1,2
1430298160,2428,2,1,2
1430298170,1744,2,1,2
1430298180,1780,2,1,2
1430298190,2336,2,1,2
1430298200,1614,2,1,2
1430298210,1729,2,1,2
1430298220,2368,2,1,2
1430298230,2137,2,1,2
1430298240,2088,2,1,2
1430298250,1730,2,1,2
1430298260,2399,2,1,2
1430298270,1539,2,1,2
1430298280,1698,2,1,2
1430298290,1996,2,1,2
1430298300,1718,2,1,2
1430298310,1708,2,1,2
1430298320,1836,2,1,2
1430298330,2171,2,1,2
1430298340,2080,2,1,2
1430298350,1962,2,1,2
1430298360,1774,2,1,2
1430298370,1977,2,1,2
1430298380,2119,2,1,2
1430298390,2415,2,1,2
1430298400,1843,2,1,2
1430298410,2065,2,1,2
1430298420,2113,2,1,2
1430298430,2287,2,1,2
1430298440,2436,2,1,2
1430298450,1706,2,1,2
1430298460,1826,2,1,2
1430298470,1547,2,1,2
1430298480,1946,2,1,2
1430298490,1949,2,1,2
1430298500,2479,2,1,2
1430298510,2025,2,1,2
1430298520,2427,2,1,2
1430298530,1843,2,1,2
1430298540,2042,2,1,2
1430298550,1899,2,1,2
1430298560,2449,2,1,2
1430298570,2273,2,1,2
1430298580,2158,2,1,2
1430298590,2461,2,1,2
1430298600,1526,2,1,2
1430298610,2396,2,1,2
1430298620,2041,2,1,2
1430298630,2341,2,1,2
1430298640,2241,2,1,2
1430298650,1544,2,1,2
1430298660,2332,2,1,2
1430298670,2346,2,1,2
1430298680,1842,2,1,2
1430298690,2390,2,1,2
1430298700,2475,2,1,2
1430298710,2226,2,1,2
1430298720,2450,2,1,2
1430298730,1723,2,1,2
1430298740,2425,2,1,2
1430298750,1665,2,1,2
1430298760,2165,2,1,2
1430298770,1834,2,1,2
1430298780,1584,2,1,2
1430298790,2368,2,1,2
1430298800,2153,2,1,2
1430298810,1762,2,1,2
1430298820,1680,2,1,2
1430298830,2308,2,1,2
1430298840,1854,2,1,2
1430298850,1532,2,1,2
1430298860,1594,2,1,2
1430298870,1578,2,1,2
1430298880,1593,2,1,2
1430298890,2498,2,1,2
1430298900,1907,2,1,2
1430298910,2178,2,1,2
1430298920,2424,2,1,2
1430298930,2354,2,1,2
1430298940,2307,2,1,2
1430298950,2430,2,1,2
1430298960,1941,2,1,2
1430298970,1774,2,1,2
1430298980,1819,2,1,2
1430298990,1644,2,1,2
1430299000,2446,2,1,2
1430299010,1604,2,1,2
1430299020,2035,2,1,2
1430299030,2354,2,1,2
1430299040,1881,2,1,2
1430299050,1551,2,1,2
1430299060,1767,2,1,2
1430299070,1697,2,1,2
1430299080,1880,2,1,2
1430299090,1771,2,1,2
1430299100,2114,2,1,2
1430299110,2364,2,1,2
1430299120,1580,2,1,2
1430299130,2359,2,1,2
1430299140,1823,2,1,2
1430299150,2158,2,1,2
1430299160,1655,2,1,2
1430299170,2299,2,1,2
1430299180,1963,2,1,2
1430299190,1886,2,1,2
1430299200,2056,2,1,2
1430299210,1711,2,1,2
1430299220,1869,2,1,2
1430299230,1828,2,1,2
1430299240,2341,2,1,2
1430299250,2013,2,1,2
1430299260,2022,2,1,2
1430299270,1851,2,1,2
1430299280,2425,2,1,2
1430299290,1799,2,1,2
1430299300,2027,2,1,2
1430299310,1598,2,1,2
1430299320,1767,2,1,2
1430299330,2271,2,1,2
1430299340,2005,2,1,2
1430299350,1955,2,1,2
1430299360,1854,2,1,2
1430299370,1717,2,1,2
1430299380,2349,2,1,2
1430299390,2197,2,1,2
1430299400,1972,2,1,2
1430299410,2431,2,1,2
1430299420,1811,2,1,2
1430299430,1782,2,1,2
1430299440,2128,2,1,2
1430299450,1952,2,1,2
1430299460,2480,2,1,2
1430299470,1626,2,1,2
1430299480,1586,2,1,2
1430299490,2444,2,1,2
1430299500,1651,2,1,2
1430299510,2297,2,1,2
1430299520,2425,2,1,2
1430299530,1566,2,1,2
1430299540,1734,2,1,2
1430299550,1946,2,1,2
1430299560,2198,2,1,2
1430299570,1674,2,1,2
1430299580,1842,2,1,2
1430299590,1724,2,1,2
1430299600,2045,2,1,2
1430299610,1718,2,1,2
1430299620,2069,2,1,2
1430299630,1724,2,1,2
1430299640,1732,2,1,2
1430299650,1664,2,1,2
1430299660,1940,2,1,2
1430299670,1813,2,1,2
1430299680,1634,2,1,2
1430299690,2270,2,1,2
1430299700,2075,2,1,2
1430299710,1876,2,1,2
1430299720,1592,2,1,2
1430299730,2257,2,1,2
1430299740,1586,2,1,2
1430299750,1741,2,1,2
1430299760,1725,2,1,2
1430299770,1690,2,1,2
1430299780,1895,2,1,2
1430299790,2260,2,1,2
1430299800,2131,2,1,2
1430299810,2422,2,1,2
1430299820,1513,2,1,2
1430299830,1727,2,1,2
1430299840,1670,2,1,2
1430299850,2441,2,1,2
1430299860,1718,2,1,2
1430299870,1511,2,1,2
1430299880,2108,2,1,2
1430299890,2154,2,1,2
1430299900,2021,2,1,2
1430299910,2404,2,1,2
1430299920,1927,2,1,2
1430299930,2281,2,1,2
1430299940,2054,2,1,2
1430299950,2484,2,1,2
1430299960,2040,2,1,2
1430299970,1779,2,1,2
1430299980,2067,2,1,2
1430299990,2256,2,1,2
1430300000,1738,2,1,2
1430300010,1659,2,1,2
1430300020,1689,2,1,2
1430300030,2216,2,1,2
1430300040,1575,2,1,2
1430300050,1502,2,1,2
1430300060,2061,2,1,2
1430300070,1623,2,1,2
1430300080,1723,2,1,2
1430300090,2423,2,1,2
1430300100,2280,2,1,2
1430300110,2428,2,1,2
1430300120,2349,2,1,2
1430300130,1952,2,1,2
1430300140,1752,2,1,2
1430300150,1679,2,1,2
1430300160,1795,2,1,2
1430300170,2360,2,1,2
1430300180,2262,2,1,2
1430300190,1789,2,1,2
1430300200,1547,2,1,2
1430300210,2184,2,1,2
1430300220,1926,2,1,2
1430300230,1801,2,1,2
1430300240,2127,2,1,2
1430300250,2225,2,1,2
1430300260,1888,2,1,2
1430300270,2309,2,1,2
1430300280,2303,2,1,2
1430300290,2401,2,1,2
1430300300,1838,2,1,2
